Location,Race,TimeFrame,DataFormat,Data
United States,Non-Hispanic Black alone,2007,Number,10632954
United States,Non-Hispanic Asian alone,2007,Number,3033164
United States,Non-Hispanic American Indian and Alaskan Native alone,2007,Number,663101
United States,Non-Hispanic American Indian and Alaskan Native alone,2008,Number,658882
United States,Non-Hispanic Asian alone,2008,Number,3111202
United States,Non-Hispanic Black alone,2008,Number,10566423
United States,Hispanic or Latino,2008,Number,16378400
United States,Total less than 18,2008,Number,74104602
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2008,Number,135626
United States,Non-Hispanic White alone,2008,Number,40782338
United States,Non-Hispanic Two or More Race Groups,2008,Number,2471731
United States,Non-Hispanic Two or More Race Groups,2008,Percent,0.03
United States,Total less than 18,2008,Percent,1
United States,Non-Hispanic White alone,2008,Percent,0.55
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2008,Percent,<.5%
United States,Hispanic or Latino,2008,Percent,0.22
United States,Non-Hispanic Black alone,2008,Percent,0.14
United States,Non-Hispanic Asian alone,2008,Percent,0.04
United States,Non-Hispanic American Indian and Alaskan Native alone,2008,Percent,0.01
United States,Non-Hispanic American Indian and Alaskan Native alone,2013,Percent,0.01
United States,Non-Hispanic Asian alone,2013,Percent,0.05
United States,Non-Hispanic Black alone,2013,Percent,0.14
United States,Hispanic or Latino,2013,Percent,0.24
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2013,Percent,<.5%
United States,Non-Hispanic White alone,2013,Percent,0.52
United States,Non-Hispanic Two or More Race Groups,2013,Percent,0.04
United States,Total less than 18,2013,Percent,1
United States,Non-Hispanic American Indian and Alaskan Native alone,2013,Number,634740
United States,Non-Hispanic Asian alone,2013,Number,3431472
United States,Non-Hispanic Black alone,2013,Number,10186845
United States,Hispanic or Latino,2013,Number,17746939
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2013,Number,142834
United States,Non-Hispanic White alone,2013,Number,38537831
United States,Non-Hispanic Two or More Race Groups,2013,Number,2912082
United States,Total less than 18,2013,Number,73592743
United States,Non-Hispanic White alone,2009,Number,40245922
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2009,Number,138157
United States,Non-Hispanic Two or More Race Groups,2009,Number,2596301
United States,Total less than 18,2009,Number,74134167
United States,Hispanic or Latino,2009,Number,16817739
United States,Non-Hispanic Black alone,2009,Number,10501290
United States,Non-Hispanic Asian alone,2009,Number,3179996
United States,Non-Hispanic American Indian and Alaskan Native alone,2009,Number,654762
United States,Hispanic or Latino,2009,Percent,0.23
United States,Non-Hispanic Black alone,2009,Percent,0.14
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2009,Percent,<.5%
United States,Non-Hispanic White alone,2009,Percent,0.54
United States,Total less than 18,2009,Percent,1
United States,Non-Hispanic Two or More Race Groups,2009,Percent,0.04
United States,Non-Hispanic American Indian and Alaskan Native alone,2009,Percent,0.01
United States,Non-Hispanic Asian alone,2009,Percent,0.04
United States,Non-Hispanic American Indian and Alaskan Native alone,2010,Percent,0.01
United States,Non-Hispanic Asian alone,2010,Percent,0.04
United States,Non-Hispanic Black alone,2010,Percent,0.14
United States,Hispanic or Latino,2010,Percent,0.23
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2010,Percent,<.5%
United States,Non-Hispanic White alone,2010,Percent,0.54
United States,Non-Hispanic Two or More Race Groups,2010,Percent,0.04
United States,Total less than 18,2010,Percent,1
United States,Non-Hispanic American Indian and Alaskan Native alone,2010,Number,650240
United States,Non-Hispanic Asian alone,2010,Number,3242837
United States,Non-Hispanic Black alone,2010,Number,10424054
United States,Hispanic or Latino,2010,Number,17184782
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2010,Number,140144
United States,Non-Hispanic White alone,2010,Number,39773023
United States,Non-Hispanic Two or More Race Groups,2010,Number,2707955
United States,Total less than 18,2010,Number,74123035
United States,Non-Hispanic American Indian and Alaskan Native alone,2015,Number,629658
United States,Non-Hispanic Asian alone,2015,Number,3579248
United States,Non-Hispanic Black alone,2015,Number,10166122
United States,Hispanic or Latino,2015,Number,18150181
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2015,Number,146226
United States,Non-Hispanic White alone,2015,Number,37927474
United States,Non-Hispanic Two or More Race Groups,2015,Number,3046202
United States,Total less than 18,2015,Number,73645111
United States,Non-Hispanic American Indian and Alaskan Native alone,2015,Percent,0.01
United States,Non-Hispanic Asian alone,2015,Percent,0.05
United States,Non-Hispanic Black alone,2015,Percent,0.14
United States,Hispanic or Latino,2015,Percent,0.25
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2015,Percent,<.5%
United States,Non-Hispanic White alone,2015,Percent,0.52
United States,Non-Hispanic Two or More Race Groups,2015,Percent,0.04
United States,Total less than 18,2015,Percent,1
United States,Non-Hispanic American Indian and Alaskan Native alone,2011,Percent,0.01
United States,Non-Hispanic Asian alone,2011,Percent,0.04
United States,Non-Hispanic Black alone,2011,Percent,0.14
United States,Hispanic or Latino,2011,Percent,0.24
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2011,Percent,<.5%
United States,Non-Hispanic White alone,2011,Percent,0.53
United States,Non-Hispanic Two or More Race Groups,2011,Percent,0.04
United States,Total less than 18,2011,Percent,1
United States,Non-Hispanic American Indian and Alaskan Native alone,2011,Number,643874
United States,Non-Hispanic Asian alone,2011,Number,3297176
United States,Non-Hispanic Black alone,2011,Number,10324137
United States,Hispanic or Latino,2011,Number,17399108
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2011,Number,140537
United States,Non-Hispanic White alone,2011,Number,39334028
United States,Non-Hispanic Two or More Race Groups,2011,Number,2778230
United States,Total less than 18,2011,Number,73917090
United States,Non-Hispanic American Indian and Alaskan Native alone,2012,Number,638620
United States,Non-Hispanic Asian alone,2012,Number,3356857
United States,Non-Hispanic Black alone,2012,Number,10238781
United States,Hispanic or Latino,2012,Number,17572198
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2012,Number,141319
United States,Non-Hispanic White alone,2012,Number,38917479
United States,Non-Hispanic Two or More Race Groups,2012,Number,2844818
United States,Total less than 18,2012,Number,73710072
United States,Non-Hispanic American Indian and Alaskan Native alone,2012,Percent,0.01
United States,Non-Hispanic Asian alone,2012,Percent,0.05
United States,Non-Hispanic Black alone,2012,Percent,0.14
United States,Hispanic or Latino,2012,Percent,0.24
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2012,Percent,<.5%
United States,Non-Hispanic White alone,2012,Percent,0.53
United States,Non-Hispanic Two or More Race Groups,2012,Percent,0.04
United States,Total less than 18,2012,Percent,1
United States,Non-Hispanic American Indian and Alaskan Native alone,2014,Percent,0.01
United States,Non-Hispanic Asian alone,2014,Percent,0.05
United States,Non-Hispanic Black alone,2014,Percent,0.14
United States,Hispanic or Latino,2014,Percent,0.24
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2014,Percent,<.5%
United States,Non-Hispanic White alone,2014,Percent,0.52
United States,Non-Hispanic Two or More Race Groups,2014,Percent,0.04
United States,Total less than 18,2014,Percent,1
United States,Non-Hispanic American Indian and Alaskan Native alone,2014,Number,632003
United States,Non-Hispanic Asian alone,2014,Number,3505336
United States,Non-Hispanic Black alone,2014,Number,10176109
United States,Hispanic or Latino,2014,Number,17951503
United States,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2014,Number,144425
United States,Non-Hispanic White alone,2014,Number,38210893
United States,Non-Hispanic Two or More Race Groups,2014,Number,2978912
United States,Total less than 18,2014,Number,73599181
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2014,Number,5519
Alabama,Non-Hispanic Asian alone,2014,Number,14444
Alabama,Non-Hispanic Black alone,2014,Number,327530
Alabama,Hispanic or Latino,2014,Number,76362
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2014,Number,630
Alabama,Non-Hispanic White alone,2014,Number,649211
Alabama,Non-Hispanic Two or More Race Groups,2014,Number,32674
Alabama,Total less than 18,2014,Number,1106370
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2014,Percent,<.5%
Alabama,Non-Hispanic Asian alone,2014,Percent,0.01
Alabama,Non-Hispanic Black alone,2014,Percent,0.3
Alabama,Hispanic or Latino,2014,Percent,0.07
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2014,Percent,<.5%
Alabama,Non-Hispanic White alone,2014,Percent,0.59
Alabama,Non-Hispanic Two or More Race Groups,2014,Percent,0.03
Alabama,Total less than 18,2014,Percent,1
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2012,Percent,0.01
Alabama,Non-Hispanic Asian alone,2012,Percent,0.01
Alabama,Non-Hispanic Black alone,2012,Percent,0.3
Alabama,Hispanic or Latino,2012,Percent,0.06
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2012,Percent,<.5%
Alabama,Non-Hispanic White alone,2012,Percent,0.59
Alabama,Non-Hispanic Two or More Race Groups,2012,Percent,0.03
Alabama,Total less than 18,2012,Percent,1
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2012,Number,5841
Alabama,Non-Hispanic Asian alone,2012,Number,13759
Alabama,Non-Hispanic Black alone,2012,Number,332513
Alabama,Hispanic or Latino,2012,Number,72295
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2012,Number,622
Alabama,Non-Hispanic White alone,2012,Number,660943
Alabama,Non-Hispanic Two or More Race Groups,2012,Number,30270
Alabama,Total less than 18,2012,Number,1116243
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2011,Number,6074
Alabama,Non-Hispanic Asian alone,2011,Number,13339
Alabama,Non-Hispanic Black alone,2011,Number,337279
Alabama,Hispanic or Latino,2011,Number,71181
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2011,Number,592
Alabama,Non-Hispanic White alone,2011,Number,667700
Alabama,Non-Hispanic Two or More Race Groups,2011,Number,28844
Alabama,Total less than 18,2011,Number,1125009
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2011,Percent,0.01
Alabama,Non-Hispanic Asian alone,2011,Percent,0.01
Alabama,Non-Hispanic Black alone,2011,Percent,0.3
Alabama,Hispanic or Latino,2011,Percent,0.06
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2011,Percent,<.5%
Alabama,Non-Hispanic White alone,2011,Percent,0.59
Alabama,Non-Hispanic Two or More Race Groups,2011,Percent,0.03
Alabama,Total less than 18,2011,Percent,1
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2015,Percent,<.5%
Alabama,Non-Hispanic Asian alone,2015,Percent,0.01
Alabama,Non-Hispanic Black alone,2015,Percent,0.3
Alabama,Hispanic or Latino,2015,Percent,0.07
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2015,Percent,<.5%
Alabama,Non-Hispanic White alone,2015,Percent,0.58
Alabama,Non-Hispanic Two or More Race Groups,2015,Percent,0.03
Alabama,Total less than 18,2015,Percent,1
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2015,Number,5490
Alabama,Non-Hispanic Asian alone,2015,Number,14844
Alabama,Non-Hispanic Black alone,2015,Number,327266
Alabama,Hispanic or Latino,2015,Number,78407
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2015,Number,644
Alabama,Non-Hispanic White alone,2015,Number,643451
Alabama,Non-Hispanic Two or More Race Groups,2015,Number,33394
Alabama,Total less than 18,2015,Number,1103496
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2010,Number,6343
Alabama,Non-Hispanic Asian alone,2010,Number,12970
Alabama,Non-Hispanic Black alone,2010,Number,341581
Alabama,Hispanic or Latino,2010,Number,67952
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2010,Number,578
Alabama,Non-Hispanic White alone,2010,Number,673551
Alabama,Non-Hispanic Two or More Race Groups,2010,Number,27244
Alabama,Total less than 18,2010,Number,1130219
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2010,Percent,0.01
Alabama,Non-Hispanic Asian alone,2010,Percent,0.01
Alabama,Non-Hispanic Black alone,2010,Percent,0.3
Alabama,Hispanic or Latino,2010,Percent,0.06
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2010,Percent,<.5%
Alabama,Non-Hispanic White alone,2010,Percent,0.6
Alabama,Non-Hispanic Two or More Race Groups,2010,Percent,0.02
Alabama,Total less than 18,2010,Percent,1
Alabama,Hispanic or Latino,2009,Percent,0.06
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2009,Percent,<.5%
Alabama,Non-Hispanic White alone,2009,Percent,0.6
Alabama,Non-Hispanic Two or More Race Groups,2009,Percent,0.02
Alabama,Total less than 18,2009,Percent,1
Alabama,Non-Hispanic Asian alone,2009,Percent,0.01
Alabama,Non-Hispanic Black alone,2009,Percent,0.3
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2009,Percent,0.01
Alabama,Non-Hispanic Two or More Race Groups,2009,Number,25997
Alabama,Total less than 18,2009,Number,1134192
Alabama,Non-Hispanic White alone,2009,Number,680090
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2009,Number,551
Alabama,Hispanic or Latino,2009,Number,64387
Alabama,Non-Hispanic Black alone,2009,Number,344518
Alabama,Non-Hispanic Asian alone,2009,Number,12472
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2009,Number,6177
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2013,Number,5623
Alabama,Non-Hispanic Asian alone,2013,Number,14094
Alabama,Non-Hispanic Black alone,2013,Number,328712
Alabama,Hispanic or Latino,2013,Number,74054
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2013,Number,623
Alabama,Non-Hispanic White alone,2013,Number,654268
Alabama,Non-Hispanic Two or More Race Groups,2013,Number,31542
Alabama,Total less than 18,2013,Number,1108916
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2013,Percent,0.01
Alabama,Non-Hispanic Asian alone,2013,Percent,0.01
Alabama,Non-Hispanic Black alone,2013,Percent,0.3
Alabama,Hispanic or Latino,2013,Percent,0.07
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2013,Percent,<.5%
Alabama,Non-Hispanic White alone,2013,Percent,0.59
Alabama,Non-Hispanic Two or More Race Groups,2013,Percent,0.03
Alabama,Total less than 18,2013,Percent,1
Alabama,Total less than 18,2008,Percent,1
Alabama,Non-Hispanic Two or More Race Groups,2008,Percent,0.02
Alabama,Non-Hispanic White alone,2008,Percent,0.6
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2008,Percent,<.5%
Alabama,Hispanic or Latino,2008,Percent,0.05
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2008,Percent,0.01
Alabama,Non-Hispanic Black alone,2008,Percent,0.31
Alabama,Non-Hispanic Asian alone,2008,Percent,0.01
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2008,Number,6098
Alabama,Non-Hispanic Asian alone,2008,Number,11972
Alabama,Non-Hispanic Black alone,2008,Number,346368
Alabama,Hispanic or Latino,2008,Number,59786
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2008,Number,541
Alabama,Non-Hispanic White alone,2008,Number,685741
Alabama,Total less than 18,2008,Number,1134927
Alabama,Non-Hispanic Two or More Race Groups,2008,Number,24421
Alabama,Non-Hispanic Two or More Race Groups,2007,Number,22639
Alabama,Total less than 18,2007,Number,1132296
Alabama,Non-Hispanic White alone,2007,Number,688962
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2007,Number,498
Alabama,Hispanic or Latino,2007,Number,54450
Alabama,Non-Hispanic Black alone,2007,Number,348327
Alabama,Non-Hispanic Asian alone,2007,Number,11331
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2007,Number,6089
Alabama,Non-Hispanic Asian alone,2007,Percent,0.01
Alabama,Non-Hispanic Black alone,2007,Percent,0.31
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2007,Percent,0.01
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2007,Percent,<.5%
Alabama,Hispanic or Latino,2007,Percent,0.05
Alabama,Non-Hispanic White alone,2007,Percent,0.61
Alabama,Non-Hispanic Two or More Race Groups,2007,Percent,0.02
Alabama,Total less than 18,2007,Percent,1
Alabama,Total less than 18,2006,Percent,1
Alabama,Non-Hispanic Two or More Race Groups,2006,Percent,0.02
Alabama,Non-Hispanic White alone,2006,Percent,0.61
Alabama,Hispanic or Latino,2006,Percent,0.04
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2006,Percent,<.5%
Alabama,Non-Hispanic Black alone,2006,Percent,0.31
Alabama,Non-Hispanic Asian alone,2006,Percent,0.01
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2006,Percent,0.01
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2006,Number,5918
Alabama,Non-Hispanic Asian alone,2006,Number,10679
Alabama,Non-Hispanic Black alone,2006,Number,349147
Alabama,Hispanic or Latino,2006,Number,48914
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2006,Number,445
Alabama,Non-Hispanic White alone,2006,Number,690677
Alabama,Total less than 18,2006,Number,1126798
Alabama,Non-Hispanic Two or More Race Groups,2006,Number,21018
Alabama,Non-Hispanic Two or More Race Groups,2005,Number,19552
Alabama,Total less than 18,2005,Number,1117229
Alabama,Non-Hispanic White alone,2005,Number,689910
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2005,Number,411
Alabama,Hispanic or Latino,2005,Number,43562
Alabama,Non-Hispanic Black alone,2005,Number,347994
Alabama,Non-Hispanic Asian alone,2005,Number,9941
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2005,Number,5859
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2005,Percent,0.01
Alabama,Non-Hispanic Asian alone,2005,Percent,0.01
Alabama,Non-Hispanic Black alone,2005,Percent,0.31
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2005,Percent,<.5%
Alabama,Hispanic or Latino,2005,Percent,0.04
Alabama,Non-Hispanic White alone,2005,Percent,0.62
Alabama,Non-Hispanic Two or More Race Groups,2005,Percent,0.02
Alabama,Total less than 18,2005,Percent,1
Alabama,Total less than 18,2004,Percent,1
Alabama,Non-Hispanic Two or More Race Groups,2004,Percent,0.02
Alabama,Non-Hispanic White alone,2004,Percent,0.62
Alabama,Hispanic or Latino,2004,Percent,0.03
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2004,Percent,<.5%
Alabama,Non-Hispanic Black alone,2004,Percent,0.31
Alabama,Non-Hispanic Asian alone,2004,Percent,0.01
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2004,Percent,0.01
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2004,Number,5927
Alabama,Non-Hispanic Asian alone,2004,Number,9357
Alabama,Non-Hispanic Black alone,2004,Number,349474
Alabama,Hispanic or Latino,2004,Number,38776
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2004,Number,373
Alabama,Non-Hispanic White alone,2004,Number,691593
Alabama,Total less than 18,2004,Number,1113662
Alabama,Non-Hispanic Two or More Race Groups,2004,Number,18162
Alabama,Non-Hispanic Two or More Race Groups,2003,Number,16807
Alabama,Total less than 18,2003,Number,1113083
Alabama,Non-Hispanic White alone,2003,Number,695393
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2003,Number,340
Alabama,Hispanic or Latino,2003,Number,35008
Alabama,Non-Hispanic Black alone,2003,Number,350810
Alabama,Non-Hispanic Asian alone,2003,Number,8763
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2003,Number,5962
Alabama,Non-Hispanic American Indian and Alaskan Native alone,2003,Percent,0.01
Alabama,Non-Hispanic Asian alone,2003,Percent,0.01
Alabama,Non-Hispanic Black alone,2003,Percent,0.32
Alabama,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2003,Percent,<.5%
Alabama,Hispanic or Latino,2003,Percent,0.03
Alabama,Non-Hispanic White alone,2003,Percent,0.62
Alabama,Non-Hispanic Two or More Race Groups,2003,Percent,0.02
Alabama,Total less than 18,2003,Percent,1
Alabama,Total less than 18,2002,Percent,1
Alabama,Non-Hispanic Two or More Race Groups,2002,Percent,0.01
Alabama,Non-Hispanic White alone,2002,Percent,0.63
Alabama,Hispanic or Latino,2002,Percent,0.03
